nama,longitude,latitude,hasil
agung_s_1,112.71856848456858,-7.447983234071112,jalan_lubang
agung_s_2,112.71944164207152,-7.448227008068511,jalan_retak
agung_s_3,112.72029390121757,-7.448534907846292,jalan_tidak_rusak
agung_s_4,112.7211605989165,-7.448799031283121,jalan_tidak_rusak
airlangga_1,112.71711941916128,-7.462738936696775,jalan_tidak_rusak
airlangga_2,112.71623285001736,-7.4625508598586,jalan_tidak_rusak
airlangga_3,112.71535499450951,-7.462324272215157,jalan_tidak_rusak
airlangga_4,112.71447940866108,-7.462093741377822,jalan_tidak_rusak
airlangga_5,112.71360003109645,-7.461876395120144,jalan_tidak_rusak
cipto_1,112.71626327330343,-7.4487776282782105,jalan_tidak_rusak
cipto_3,112.71797403154646,-7.449391049913113,jalan_tidak_rusak
cokronegoro_1,112.7171887700885,-7.44507466143304,jalan_retak
cokronegoro_2,112.71808246384964,-7.445230637740493,jalan_tidak_rusak
gubernur_2,112.71763637896645,-7.44710992190638,jalan_tidak_rusak
hang_1,112.72028080266978,-7.453407169874069,jalan_tidak_rusak
hang_4,112.71769870243016,-7.454340303043964,jalan_tidak_rusak
hasanudin_1,112.72226431883742,-7.463841752941458,jalan_retak
hasanudin_2,112.72138108297533,-7.46363843351136,jalan_tidak_rusak
hasanudin_3,112.72044578080803,-7.463459121457169,jalan_tidak_rusak
hasanudin_6,112.7178138746452,-7.4629639221886706,jalan_retak
hidayat_1,112.72324334587734,-7.45974902214504,jalan_tidak_rusak
hidayat_2,112.72345126427075,-7.458867776064121,jalan_tidak_rusak
hidayat_3,112.72366264325301,-7.457988378592388,jalan_tidak_rusak
ikan_1,112.72174253268143,-7.453818231311196,jalan_retak
kartini_10,112.72073954667252,-7.4522772796313985,jalan_tidak_rusak
kartini_11,112.72042063005075,-7.453118285442932,jalan_lubang
kartini_2,112.72259757609734,-7.445272634684612,jalan_lubang
kartini_6,112.7215620998122,-7.448916101755687,jalan_retak
kartini_7,112.72155542195286,-7.449674279343972,jalan_tidak_rusak
kartini_9,112.72104423052686,-7.45141250081398,jalan_tidak_rusak
kh_mukmin_1,112.71735020234247,-7.460276087083367,jalan_tidak_rusak
kh_mukmin_3,112.71556816624165,-7.459950070649201,jalan_tidak_rusak
kh_mukmin_4,112.71467861320164,-7.4597797641559005,jalan_tidak_rusak
kombes_1,112.71810775046335,-7.450519614260567,jalan_tidak_rusak
kombes_3,112.71977651749857,-7.451221227971151,jalan_retak
kombes_4,112.72060810104182,-7.451584842181298,jalan_tidak_rusak
kombes_5,112.72146229846217,-7.451886050846648,jalan_tidak_rusak
kombes_6,112.72229881640133,-7.452235053561006,jalan_tidak_rusak
malik_1,112.72177196815719,-7.453856990274903,jalan_retak
mayjen_2,112.71839785376075,-7.443258517163195,jalan_retak
